"","influenza_rad"
"258",4.09763948497854
"259",4.09048640915594
"260",3.82296137339056
"261",4.08834048640916
"262",3.07689556509299
"263",3.92525035765379
"264",3.92525035765379
"265",2.95815450643777
"266",4.09048640915594
"267",3.7192417739628
"268",4.21638054363376
"269",4.07975679542203
"270",4.09620886981402
"271",3.07689556509299
"272",3.95314735336195
"273",4.07975679542203
"274",4.12768240343348
"275",4.0947782546495
"276",3.14628040057225
"277",3.93812589413448
"278",4.12410586552217
"279",3.07689556509299
"280",4.09620886981402
"281",3.70565092989986
"282",4.08834048640916
"283",3.07689556509299
"284",4.08690987124464
"285",4.21494992846924
"286",4.2049356223176
"287",4.56330472103004
"288",3.92525035765379
"289",3.07689556509299
"290",3.92167381974249
"291",3.59334763948498
"292",4.08834048640916
"293",4.06545064377682
"294",4.20922746781116
"295",4.03326180257511
"296",3.07689556509299
"297",4.19062947067239
"298",2.95815450643777
"299",3.07689556509299
"300",4.08834048640916
"301",3.07689556509299
"302",4.09620886981402
"303",4.08834048640916
"304",4.3637339055794
"305",4.05543633762518
"306",4.19992846924177
"307",3.3258226037196
"308",3.30579399141631
"309",4.32510729613734
"310",3.70636623748212
"311",3.51680972818312
"312",3.48247496423462
"313",4.22925608011445
"314",4.21137339055794
"315",3.34298998569385
"316",3.64556509298999
"317",3.70779685264664
"318",2.93311874105866
"319",2.93311874105866
"320",3.17203147353362
"321",4.12839771101574
"322",2.93311874105866
"323",4.5118025751073
"324",3.94170243204578
"325",3.51680972818312
"326",3.73927038626609
"327",3.72711015736767
"328",4.30865522174535
"329",4.24928469241774
"330",3.84585121602289
"331",4.20278969957082
"332",3.30579399141631
"333",3.30579399141631
"334",3.68061516452074
"335",4.35014306151645
"336",3.30579399141631
"337",3.87660944206009
"338",3.41380543633763
"339",3.93669527896996
"340",3.87231759656652
"341",4.53183118741059
"342",3.30579399141631
"343",3.66273247496423
"344",3.30579399141631
"345",3.60622317596567
"346",4.11480686695279
"347",3.4846208869814
"348",3.84585121602289
"349",3.318669527897
