"","corona_res"
"1052",157.28125
"1053",206.59375
"1054",206.59375
"1055",157.28125
"1056",157.28125
"1057",157.28125
"1058",157.28125
"1059",206.59375
"1060",206.59375
"1061",206.59375
"1062",157.28125
"1063",206.59375
"1064",157.28125
"1065",157.28125
"1066",206.59375
"1067",206.59375
"1068",157.28125
"1069",206.59375
"1070",174.53125
"1071",206.59375
"1072",206.59375
"1073",157.28125
"1074",157.28125
"1075",157.28125
"1076",206.59375
"1077",106.09375
"1078",106.09375
"1079",106.09375
"1080",106.09375
"1081",106.09375
"1082",106.09375
"1083",106.09375
"1084",106.09375
"1085",106.09375
"1086",106.09375
"1087",106.09375
"1088",106.09375
"1089",106.09375
"1090",106.09375
"1091",106.09375
"1092",106.09375
"1093",106.09375
"1094",106.09375
"1095",106.09375
"1096",106.09375
"1097",106.09375
"1098",106.09375
"1099",106.09375
"1100",106.09375
"1101",106.09375
"1102",106.09375
"1103",106.09375
"1104",106.09375
"1105",106.09375
"1106",106.09375
"1107",106.09375
"1108",106.09375
"1109",106.09375
"1110",106.09375
"1111",106.09375
"1112",106.09375
"1113",106.09375
"1114",106.09375
"1115",165.53125
"1116",165.53125
"1117",165.53125
"1118",165.53125
"1119",165.53125
"1120",165.53125
"1121",165.53125
"1122",165.53125
"1123",165.53125
"1124",165.53125
"1125",165.53125
"1126",165.53125
"1127",165.53125
"1128",165.53125
"1129",165.53125
"1130",165.53125
"1131",165.53125
"1132",165.53125
"1133",165.53125
"1134",165.53125
"1135",165.53125
"1136",165.53125
"1137",165.53125
"1138",165.53125
"1139",165.53125
"1140",165.53125
"1141",165.53125
"1142",165.53125
"1143",165.53125
"1144",165.53125
"1145",165.53125
"1146",165.53125
"1147",165.53125
"1148",165.53125
"1149",165.53125
"1150",165.53125
"1151",165.53125
"1152",165.53125
"1153",165.53125
"1154",165.53125
"1155",165.53125
"1156",165.53125
"1157",165.53125
"1158",165.53125
"1159",165.53125
"1160",165.53125
"1161",165.53125
"1162",165.53125
"1163",165.53125
"1164",165.53125
"1165",165.53125
"1166",165.53125
"1167",165.53125
"1168",165.53125
"1169",165.53125
"1170",165.53125
"1171",165.53125
"1172",165.53125
"1173",165.53125
"1174",165.53125
"1175",165.53125
"1176",165.53125
"1177",165.53125
"1178",165.53125
"1179",165.53125
"1180",165.53125
"1181",165.53125
"1182",165.53125
"1183",165.53125
"1184",165.53125
"1185",165.53125
"1186",173.125
"1187",165.53125
"1188",165.53125
"1189",165.53125
"1190",165.53125
"1191",165.53125
"1192",165.53125
"1193",165.53125
"1194",165.53125
"1195",165.53125
"1196",165.53125
"1197",165.53125
"1198",165.53125
"1199",165.53125
"1200",165.53125
"1201",165.53125
"1202",165.53125
"1203",165.53125
"1204",173.125
"1205",165.53125
"1206",165.53125
"1207",165.53125
"1208",165.53125
"1209",165.53125
"1210",165.53125
"1211",165.53125
"1212",165.53125
"1213",165.53125
"1214",165.53125
"1215",165.53125
"1216",165.53125
"1217",165.53125
"1218",165.53125
"1219",165.53125
"1220",165.53125
"1221",165.53125
"1222",165.53125
"1223",165.53125
"1224",165.53125
"1225",165.53125
"1226",165.53125
"1227",165.53125
"1228",165.53125
"1229",165.53125
"1230",165.53125
"1231",165.53125
"1232",165.53125
"1233",165.53125
"1234",165.53125
"1235",165.53125
"1236",165.53125
