"","influenza_dif"
"1745",313
"1746",313
"1747",288
"1748",1784
"1749",1321
"1750",845
"1751",1381
"1752",1652
"1753",2248
"1754",4344
"1755",3174
"1756",575
"1757",3517
"1758",385
"1759",385
"1760",46
"1761",721
"1762",630
"1763",404
"1764",317
"1765",313
"1766",71
"1767",685
"1768",917
"1769",313
"1770",288
"1771",189
"1772",1761
"1773",845
"1774",676
"1775",82
"1776",385
"1777",82
"1778",288
"1779",313
"1780",231
"1781",82
"1782",575
"1783",313
"1784",1778
"1785",4
"1786",385
"1787",845
"1788",385
"1789",1289
"1790",363
"1791",317
"1792",313
"1793",313
"1794",1217
"1795",385
"1796",313
"1797",1162
"1798",82
"1799",1028
"1800",1258
"1801",385
"1802",342
"1803",630
"1804",661
"1805",385
"1806",385
"1807",597
"1808",3361
"1809",385
"1810",3475
"1811",385
"1812",1534
"1813",313
"1814",4973
"1815",1882
"1816",313
"1817",313
"1818",313
"1819",355
"1820",696
"1821",82
"1822",109
"1823",46
"1824",3250
"1825",2297
"1826",1522
"1827",313
"1828",1221
"1829",1919
"1830",46
"1831",2180
"1832",385
"1833",532
"1834",1172
"1835",385
"1836",845
"1837",1162
"1838",313
"1839",685
"1840",1074
"1841",405
"1842",684
"1843",861
"1844",597
"1845",109
"1846",3281
"1847",385
"1848",1020
"1849",5977
"1850",109
"1851",313
"1852",313
"1853",630
"1854",313
"1855",385
"1856",34
"1857",82
"1858",593
"1859",2482
"1860",385
"1861",824
"1862",2468
"1863",46
"1864",288
"1865",385
"1866",845
"1867",385
"1868",764
"1869",82
"1870",317
"1871",46
"1872",3728
"1873",3771
"1874",4260
"1875",4138
"1876",3802
"1877",3606
"1878",3978
"1879",6128
"1880",4260
"1881",5571
"1882",4260
"1883",5340
"1884",3649
"1885",3446
"1886",82
"1887",4405
"1888",4221
"1889",1955
"1890",122
"1891",2386
"1892",3646
"1893",3319
"1894",1731
"1895",4221
"1896",4178
"1897",4178
"1898",2983
"1899",3646
"1900",2034
"1901",1229
"1902",4371
"1903",697
"1904",458
"1905",2958
"1906",122
"1907",122
"1908",1722
"1909",3646
"1910",2631
"1911",122
"1912",3665
"1913",1033
"1914",43
"1915",43
"1916",43
"1917",2861
"1918",43
"1919",3524
"1920",43
"1921",2575
"1922",327
"1923",3478
"1924",4476
"1925",1837
"1926",2575
"1927",3147
"1928",2643
"1929",1003
"1930",988
"1931",3123
"1932",1520
"1933",2239
"1934",3188
"1935",4056
"1936",2863
"1937",2511
"1938",663
"1939",1456
"1940",859
"1941",4056
"1942",3700
"1943",2468
"1944",3172
"1945",4056
"1946",2575
"1947",4988
"1948",2927
"1949",3928
"1950",2196
"1951",3126
"1952",2575
"1953",3226
"1954",2175
"1955",3479
"1956",4300
"1957",2591
"1958",3524
"1959",3172
"1960",1003
"1961",3704
"1962",3172
"1963",1664
"1964",2771
"1965",327
"1966",327
"1967",2575
"1968",327
"1969",327
"1970",2470
"1971",327
"1972",2000
"1973",1520
"1974",2239
"1975",327
"1976",2597
"1977",679
"1978",1454
"1979",2771
"1980",3819
"1981",1792
"1982",859
"1983",1792
"1984",3021
"1985",1937
"1986",3123
"1987",4056
"1988",327
"1989",5216
"1990",575
"1991",575
"1992",575
"1993",575
"1994",1623
"1995",575
"1996",1912
"1997",1912
"1998",1236
"1999",575
"2000",1912
"2001",2248
"2002",1251
"2003",2264
"2004",1236
"2005",1251
"2006",575
"2007",575
"2008",2112
"2009",1251
"2010",3729
"2011",1704
"2012",2796
"2013",575
"2014",3419
"2015",1251
"2016",1912
"2017",2861
"2018",1251
"2019",575
"2020",1603
"2021",2264
"2022",1912
"2023",575
"2024",2861
"2025",2796
"2026",1944
"2027",2861
"2028",575
"2029",575
"2030",1655
"2031",1912
"2032",1912
"2033",2002
"2034",1912
"2035",2264
"2036",1912
"2037",3428
"2038",575
"2039",3197
"2040",1251
"2041",3729
"2042",1587
"2043",2861
"2044",1912
"2045",1251
"2046",2980
"2047",2845
"2048",1236
"2049",575
"2050",2197
"2051",3896
"2052",1912
"2053",3041
"2054",947
"2055",2284
"2056",2796
"2057",3175
"2058",2264
"2059",1587
"2060",1251
"2061",1912
"2062",2509
"2063",2264
"2064",2135
"2065",2509
"2066",1603
"2067",1912
"2068",575
"2069",2328
"2070",1251
"2071",2284
"2072",896
"2073",575
"2074",2597
"2075",1236
"2076",575
"2077",2668
"2078",1251
"2079",1912
"2080",1107
"2081",575
"2082",1912
"2083",2284
"2084",2483
"2085",1251
"2086",1912
"2087",927
"2088",1591
"2089",575
"2090",575
"2091",575
"2092",1912
"2093",575
"2094",575
"2095",575
"2096",575
"2097",575
"2098",2845
"2099",2509
"2100",1251
"2101",1251
"2102",575
"2103",1783
"2104",575
"2105",575
"2106",3449
"2107",575
"2108",1768
"2109",575
"2110",1524
"2111",1587
"2112",911
"2113",2259
"2114",575
"2115",1251
"2116",1251
"2117",4316
"2118",575
"2119",2184
"2120",575
"2121",1912
"2122",1251
"2123",1251
"2124",2433
"2125",896
"2126",2585
"2127",911
"2128",2509
"2129",1912
"2130",701
"2131",661
"2132",661
"2133",661
"2134",661
"2135",661
"2136",1412
"2137",661
"2138",1193
"2139",1337
"2140",661
"2141",1689
"2142",1193
"2143",1510
"2144",661
"2145",661
"2146",1869
"2147",1835
"2148",1689
"2149",2405
"2150",1569
"2151",1350
"2152",661
"2153",1033
"2154",2190
"2155",661
"2156",1337
"2157",880
"2158",1033
"2159",661
"2160",661
"2161",661
"2162",1337
"2163",1869
"2164",1193
"2165",661
"2166",1193
"2167",1033
"2168",1337
"2169",2777
"2170",661
"2171",661
"2172",2186
"2173",1337
"2174",661
"2175",1337
"2176",1882
"2177",661
"2178",1284
"2179",661
"2180",1790
"2181",661
"2182",1565
"2183",3386
"2184",661
"2185",1689
"2186",1193
"2187",1901
"2188",1617
"2189",661
"2190",4905
"2191",661
"2192",1594
"2193",661
"2194",661
"2195",1193
"2196",1197
"2197",1337
"2198",1337
"2199",1889
"2200",978
"2201",661
"2202",1193
"2203",661
"2204",661
"2205",2221
"2206",661
"2207",661
"2208",1016
"2209",1337
"2210",1882
"2211",1594
"2212",1193
"2213",661
"2214",661
"2215",1193
"2216",1013
"2217",1252
"2218",661
"2219",1193
"2220",4184
"2221",1193
"2222",1337
"2223",2006
"2224",1337
"2225",661
"2226",1337
"2227",1337
"2228",532
"2229",532
"2230",532
"2231",868
"2232",532
"2233",532
"2234",532
"2235",532
"2236",1167
"2237",849
"2238",532
"2239",849
"2240",532
"2241",1208
"2242",1744
"2243",2351
"2244",904
"2245",532
"2246",532
"2247",532
"2248",1084
"2249",532
"2250",532
"2251",532
"2252",532
"2253",849
"2254",532
"2255",904
"2256",532
"2257",532
"2258",1129
"2259",532
"2260",532
"2261",904
"2262",532
"2263",532
"2264",532
"2265",849
"2266",532
"2267",532
"2268",904
"2269",532
"2270",532
"2271",1440
"2272",532
"2273",532
"2274",532
"2275",532
"2276",532
"2277",532
"2278",1386
"2279",532
"2280",532
"2281",849
"2282",532
"2283",532
"2284",532
"2285",532
"2286",532
"2287",849
"2288",532
"2289",532
"2290",849
"2291",532
"2292",532
"2293",532
"2294",532
"2295",532
"2296",1440
"2297",532
"2298",532
"2299",532
"2300",532
"2301",532
"2302",532
"2303",1525
"2304",1208
"2305",532
"2306",532
"2307",532
"2308",532
"2309",532
"2310",532
"2311",532
"2312",532
"2313",532
"2314",532
"2315",532
"2316",532
"2317",532
"2318",532
"2319",532
"2320",532
"2321",532
"2322",532
