"","influenza_geo"
"1832",428
"1833",574
"1834",931
"1835",428
"1836",754
"1837",933
"1838",351
"1839",620
"1840",890
"1841",445
"1842",673
"1843",623
"1844",638
"1845",145
"1846",1325
"1847",428
"1848",980
"1849",2238
"1850",145
"1851",351
"1852",351
"1853",596
"1854",351
"1855",428
"1856",64
"1857",116
"1858",574
"1859",1049
"1860",428
"1861",700
"1862",1436
"1863",71
"1864",327
"1865",428
"1866",754
"1867",428
"1868",710
"1869",116
"1870",356
"1871",71
"1872",1321
"1873",1328
"1874",1520
"1875",1510
"1876",1494
"1877",1311
"1878",1518
"1879",2113
"1880",1520
"1881",1965
"1882",1520
"1883",1925
"1884",1318
"1885",1511
"1886",113
"1887",1660
"1888",1526
"1889",1146
"1890",157
"1891",1046
"1892",1319
"1893",1302
"1894",1050
"1895",1526
"1896",1518
"1897",1518
"1898",1283
"1899",1319
"1900",1007
"1901",990
"1902",1645
"1903",638
"1904",407
"1905",1270
"1906",157
"1907",157
"1908",1056
"1909",1319
"1910",1250
"1911",157
"1912",1604
"1913",701
"1914",72
"1915",72
"1916",72
"1917",1400
"1918",72
"1919",1439
"1920",72
"1921",1050
"1922",368
"1923",1497
"1924",1815
"1925",1175
"1926",1050
"1927",1448
"1928",1231
"1929",787
"1930",764
"1931",1282
"1932",1002
"1933",1030
"1934",1290
"1935",1507
"1936",1195
"1937",1155
"1938",476
"1939",1040
"1940",734
"1941",1507
"1942",1528
"1943",1313
"1944",1275
"1945",1507
"1946",1050
"1947",1867
"1948",1088
"1949",1496
"1950",1155
"1951",1460
"1952",1050
"1953",1651
"1954",1136
"1955",1380
"1956",1673
"1957",1069
"1958",1308
"1959",1275
"1960",787
"1961",1475
"1962",1275
"1963",937
"1964",1244
"1965",368
"1966",368
"1967",1050
"1968",368
"1969",368
"1970",1174
"1971",368
"1972",962
"1973",1002
"1974",1030
"1975",368
"1976",1194
"1977",534
"1978",1047
"1979",1244
"1980",1734
"1981",1082
"1982",734
"1983",1082
"1984",1355
"1985",1068
"1986",1282
"1987",1507
"1988",368
"1989",2065
"1990",619
"1991",619
"1992",619
"1993",619
"1994",1102
"1995",619
"1996",993
"1997",993
"1998",876
"1999",619
"2000",993
"2001",1024
"2002",839
"2003",1033
"2004",876
"2005",839
"2006",619
"2007",619
"2008",1249
"2009",839
"2010",1493
"2011",1231
"2012",1253
"2013",619
"2014",1517
"2015",839
"2016",993
"2017",1271
"2018",839
"2019",619
"2020",891
"2021",1033
"2022",993
"2023",619
"2024",1271
"2025",1253
"2026",1272
"2027",1271
"2028",619
"2029",619
"2030",1058
"2031",993
"2032",993
"2033",1239
"2034",993
"2035",1033
"2036",993
"2037",1423
"2038",619
"2039",1291
"2040",839
"2041",1493
"2042",885
"2043",1271
"2044",993
"2045",839
"2046",1435
"2047",1257
"2048",876
"2049",619
"2050",1378
"2051",1773
"2052",993
"2053",1483
"2054",928
"2055",1218
"2056",1253
"2057",1589
"2058",1033
"2059",885
"2060",839
"2061",993
"2062",1237
"2063",1033
"2064",1170
"2065",1237
"2066",891
"2067",993
"2068",619
"2069",1224
"2070",839
"2071",1218
"2072",859
"2073",619
"2074",1300
"2075",876
"2076",619
"2077",1250
"2078",839
"2079",993
"2080",974
"2081",619
"2082",993
"2083",1218
"2084",1152
"2085",839
"2086",993
"2087",718
"2088",1119
"2089",619
"2090",619
"2091",619
"2092",993
"2093",619
"2094",619
"2095",619
"2096",619
"2097",619
"2098",1257
"2099",1237
"2100",839
"2101",839
"2102",619
"2103",1126
"2104",619
"2105",619
"2106",1443
"2107",619
"2108",1111
"2109",619
"2110",996
"2111",885
"2112",688
"2113",1337
"2114",619
"2115",839
"2116",839
"2117",1863
"2118",619
"2119",1127
"2120",619
"2121",993
"2122",839
"2123",839
"2124",1128
"2125",859
"2126",1237
"2127",688
"2128",1237
"2129",993
"2130",729
"2131",704
"2132",704
"2133",704
"2134",704
"2135",704
"2136",1060
"2137",704
"2138",952
"2139",893
"2140",704
"2141",936
"2142",952
"2143",1126
"2144",704
"2145",704
"2146",1118
"2147",1242
"2148",936
"2149",1340
"2150",1165
"2151",1112
"2152",704
"2153",955
"2154",1321
"2155",704
"2156",893
"2157",834
"2158",955
"2159",704
"2160",704
"2161",704
"2162",893
"2163",1118
"2164",952
"2165",704
"2166",952
"2167",955
"2168",893
"2169",1465
"2170",704
"2171",704
"2172",1283
"2173",893
"2174",704
"2175",893
"2176",1275
"2177",704
"2178",1047
"2179",704
"2180",1218
"2181",704
"2182",1144
"2183",1726
"2184",704
"2185",936
"2186",952
"2187",1202
"2188",1198
"2189",704
"2190",2065
"2191",704
"2192",1028
"2193",704
"2194",704
"2195",952
"2196",990
"2197",893
"2198",893
"2199",1213
"2200",923
"2201",704
"2202",952
"2203",704
"2204",704
"2205",1160
"2206",704
"2207",704
"2208",976
"2209",893
"2210",1275
"2211",1028
"2212",952
"2213",704
"2214",704
"2215",952
"2216",767
"2217",1040
"2218",704
"2219",952
"2220",1926
"2221",952
"2222",893
"2223",1141
"2224",893
"2225",704
"2226",893
"2227",893
"2228",574
"2229",574
"2230",574
"2231",770
"2232",574
"2233",574
"2234",574
"2235",574
"2236",1008
"2237",782
"2238",574
"2239",782
"2240",574
"2241",1013
"2242",1253
"2243",1536
"2244",817
"2245",574
"2246",574
"2247",574
"2248",952
"2249",574
"2250",574
"2251",574
"2252",574
"2253",782
"2254",574
"2255",817
"2256",574
"2257",574
"2258",987
"2259",574
"2260",574
"2261",817
"2262",574
"2263",574
"2264",574
"2265",782
"2266",574
"2267",574
"2268",817
"2269",574
"2270",574
"2271",1018
"2272",574
"2273",574
"2274",574
"2275",574
"2276",574
"2277",574
"2278",1102
"2279",574
"2280",574
"2281",782
"2282",574
"2283",574
"2284",574
"2285",574
"2286",574
"2287",782
"2288",574
"2289",574
"2290",782
"2291",574
"2292",574
"2293",574
"2294",574
"2295",574
"2296",1018
"2297",574
"2298",574
"2299",574
"2300",574
"2301",574
"2302",574
"2303",1189
"2304",1013
"2305",574
"2306",574
"2307",574
"2308",574
"2309",574
"2310",574
"2311",574
"2312",574
"2313",574
"2314",574
"2315",574
"2316",574
"2317",574
"2318",574
"2319",574
"2320",574
"2321",574
"2322",574
"2323",574
"2324",574
"2325",574
"2326",574
"2327",574
"2328",782
"2329",782
"2330",782
"2331",412
"2332",762
"2333",614
"2334",412
"2335",800
"2336",412
"2337",536
"2338",412
"2339",412
"2340",412
"2341",648
"2342",412
"2343",412
"2344",1241
"2345",735
"2346",412
"2347",412
"2348",412
"2349",412
"2350",412
