"","influenza_la"
"1457",164
"1458",3180
"1459",1064
"1460",626
"1461",164
"1462",3018
"1463",8830
"1464",576
"1465",5692
"1466",1188
"1467",626
"1468",704
"1469",626
"1470",800
"1471",2124
"1472",1530
"1473",626
"1474",92
"1475",3658
"1476",1242
"1477",3838
"1478",770
"1479",1282
"1480",626
"1481",6766
"1482",626
"1483",576
"1484",5218
"1485",2330
"1486",40
"1487",626
"1488",142
"1489",626
"1490",142
"1491",1530
"1492",3934
"1493",4380
"1494",626
"1495",92
"1496",626
"1497",1150
"1498",4218
"1499",142
"1500",626
"1501",626
"1502",40
"1503",576
"1504",1230
"1505",626
"1506",1692
"1507",164
"1508",626
"1509",68
"1510",142
"1511",626
"1512",6840
"1513",1372
"1514",8068
"1515",770
"1516",218
"1517",2330
"1518",770
"1519",576
"1520",626
"1521",3514
"1522",164
"1523",626
"1524",164
"1525",1074
"1526",2440
"1527",164
"1528",6490
"1529",5534
"1530",2330
"1531",576
"1532",1322
"1533",654
"1534",5982
"1535",1022
"1536",164
"1537",6796
"1538",770
"1539",626
"1540",7874
"1541",1322
"1542",770
"1543",1516
"1544",142
"1545",6104
"1546",7206
"1547",770
"1548",770
"1549",770
"1550",1692
"1551",9514
"1552",142
"1553",6334
"1554",6552
"1555",808
"1556",634
"1557",770
"1558",770
"1559",5778
"1560",4964
"1561",770
"1562",8142
"1563",3462
"1564",7692
"1565",8434
"1566",770
"1567",8568
"1568",4356
"1569",626
"1570",142
"1571",770
"1572",4490
"1573",1790
"1574",164
"1575",3362
"1576",1874
"1577",1516
"1578",2136
"1579",6924
"1580",778
"1581",3450
"1582",10556
"1583",8388
"1584",7364
"1585",164
"1586",3912
"1587",1476
"1588",142
"1589",5038
"1590",92
"1591",11378
"1592",7454
"1593",1352
"1594",4504
"1595",7976
"1596",9524
"1597",92
"1598",2504
"1599",770
"1600",2518
"1601",1692
"1602",1642
"1603",770
"1604",770
"1605",164
"1606",218
"1607",770
"1608",11102
"1609",11544
"1610",770
"1611",2362
"1612",164
"1613",3320
"1614",4286
"1615",142
"1616",378
"1617",1692
"1618",626
"1619",1692
"1620",2002
"1621",92
"1622",704
"1623",3424
"1624",770
"1625",2154
"1626",1516
"1627",164
"1628",626
"1629",4142
"1630",770
"1631",12544
"1632",4498
"1633",378
"1634",164
"1635",1692
"1636",2844
"1637",218
"1638",1836
"1639",1836
"1640",626
"1641",4208
"1642",576
"1643",164
"1644",1548
"1645",218
"1646",2442
"1647",770
"1648",626
"1649",1262
"1650",92
"1651",770
