"","corona_la"
"1395",70
"1396",1000
"1397",1544
"1398",192820
"1399",14178
"1400",1014
"1401",1316
"1402",332
"1403",47774
"1404",562
"1405",134940
"1406",1134
"1407",10692
"1408",8002
"1409",169128
