"","corona_lat"
"444",468.5
"445",472.916666666667
"446",475.166666666667
"447",462.833333333333
"448",555.916666666667
"449",462.833333333333
"450",462.833333333333
"451",468.5
"452",476.75
"453",462.833333333333
"454",462.833333333333
"455",462.833333333333
"456",462.833333333333
"457",520.166666666667
"458",476.75
"459",462.833333333333
"460",462.833333333333
"461",362.833333333333
"462",462.833333333333
"463",474.166666666667
"464",462.833333333333
"465",462.833333333333
"466",486.5
"467",476.75
"468",462.833333333333
"469",462.833333333333
"470",476.75
"471",476.75
"472",462.833333333333
"473",462.833333333333
"474",472.916666666667
"475",462.833333333333
"476",472.916666666667
"477",462.833333333333
"478",462.833333333333
"479",462.833333333333
"480",462.833333333333
"481",462.833333333333
"482",462.833333333333
"483",462.833333333333
"484",462.833333333333
"485",462.833333333333
"486",462.833333333333
"487",486.5
"488",462.833333333333
"489",462.833333333333
"490",462.833333333333
"491",462.833333333333
"492",462.833333333333
"493",462.833333333333
"494",462.833333333333
"495",462.833333333333
"496",462.833333333333
"497",466
"498",462.833333333333
"499",462.833333333333
"500",462.833333333333
"501",349.75
"502",457.75
"503",524.116666666667
"504",437.833333333333
"505",455.583333333333
"506",403.9
"507",403.9
"508",501.366666666667
"509",538
"510",423.5
"511",455.583333333333
"512",423.5
"513",416.816666666667
"514",436.983333333333
"515",424.316666666667
"516",538
"517",440.9
"518",440.9
"519",403.9
"520",416.816666666667
"521",416.816666666667
"522",573
"523",429.666666666667
"524",436.983333333333
"525",538
"526",407.816666666667
"527",551.416666666667
"528",521.95
"529",583.616666666667
"530",403.9
"531",638.833333333333
"532",529.083333333333
"533",292.1
"534",292.1
"535",463.366666666667
"536",353.85
"537",353.85
"538",353.85
"539",498.333333333333
"540",353.85
"541",353.85
"542",353.85
"543",395
"544",395.516666666667
"545",490.916666666667
"546",453.7
"547",477.616666666667
"548",477.616666666667
"549",472.25
"550",486.5
"551",338.283333333333
"552",375.083333333333
"553",375.083333333333
"554",375.083333333333
"555",375.083333333333
"556",375.083333333333
"557",375.083333333333
"558",375.083333333333
"559",375.083333333333
