"","corona_lin"
"346",364.022034520749
"347",424.328767123288
"348",364.022034520749
"349",364.022034520749
"350",427.623813632442
"351",427.623813632442
"352",364.022034520749
"353",417.888701517707
"354",420.548154433602
"355",417.888701517707
"356",417.888701517707
"357",427.623813632442
"358",417.888701517707
"359",417.888701517707
"360",417.888701517707
"361",417.888701517707
"362",527.251063829787
"363",417.888701517707
"364",510.155429747813
"365",527.251063829787
"366",668.847503373819
"367",680.791208791209
"368",461.897483690587
"369",417.888701517707
"370",417.888701517707
"371",417.888701517707
"372",626.568900126422
"373",430.596003475239
"374",420.548154433602
"375",580.007021650088
"376",627.362025316456
"377",630.956078930617
"378",427.623813632442
"379",430.596003475239
"380",430.03557483731
"381",483.056530214425
"382",661.703604806409
"383",436.666079295154
"384",417.888701517707
"385",445.697841726619
"386",417.888701517707
"387",478.624818928054
"388",430.596003475239
"389",430.596003475239
"390",421.621437686091
"391",424.510492505353
"392",478.624818928054
"393",460.609665427509
"394",494.873689465801
"395",657.315649867374
"396",661.703604806409
"397",664.810194500335
"398",417.888701517707
"399",417.888701517707
"400",417.888701517707
"401",417.888701517707
"402",417.888701517707
"403",417.888701517707
"404",417.888701517707
"405",417.888701517707
"406",417.888701517707
"407",417.888701517707
"408",417.888701517707
"409",417.888701517707
"410",417.888701517707
"411",417.888701517707
"412",417.888701517707
"413",417.888701517707
"414",417.888701517707
"415",417.888701517707
"416",417.888701517707
"417",417.888701517707
"418",417.888701517707
"419",417.888701517707
