"","influenza_av","influenza_bar","influenza_clo","influenza_lat","influenza_res","influenza_dec","influenza_dif","influenza_geo","influenza_la","influenza_lev","influenza_lin","influenza_lob","influenza_mar","influenza_rad","influenza_eig","influenza_sub","influenza_bet","influenza_ecc","influenza_deg","influenza_auth","influenza_hub"
"1467",3.77483917083631,9.46790380609733e-05,9.46790380609733e-05,778.95,235.90625,235.90625,313,351,626,-0.993610223642173,740.164362810074,1,5.4215968587505e-05,3.22496423462089,0.523160353273381,53343310019090304,0,6,1,0.000386644269231439,0.000386644269231439
"1468",3.73195139385275,9.57670944263551e-05,9.57670944263551e-05,790.65,244.390625,244.390625,352,394,704,-0.994318181818182,748.670369660985,1,5.43302365615778e-05,3.26788268955651,1.46957909154077,802992213704215936,0,6,1,0.00150012436655882,0.00150012436655882
"1469",3.77483917083631,9.46790380609733e-05,9.46790380609733e-05,778.95,235.90625,235.90625,313,351,626,-0.993610223642173,740.164362810074,1,5.4215968587506e-05,3.22496423462089,0.523160353273386,53343310019090304,0,6,1,0.000386644269231439,0.000386644269231439
"1470",3.72480343102216,9.59508731529457e-05,9.59508731529457e-05,795.75,248.28125,248.28125,399,414,800,-0.969614306281731,750.107081174439,2,0.000107233692766016,3.27503576537911,0.256316002177705,133626242520034672,6.79143319718466e-05,6,2,0.000611952165543034,0.000611952165543034
"1471",3.28591851322373,0.000108766586904503,0.000108766586904503,946.666666666667,361.25,361.25,1061,1016,2124,-0.991864443100849,850.295410050033,2,0.00010875571283087,3.71423462088698,0.310385596922092,3429546300380102144,7.9444943794202e-05,4,2,0.00310020158184088,0.00310020158184088
"1472",3.50464617583989,0.000101978380583316,0.000101978380583316,870.166666666667,303.875,303.875,764,710,1530,-0.986001461988304,797.227819702223,2,0.000108488804881423,3.49535050071531,0.357287635579736,2279942050744056832,2.18893433515553e-05,4,2,0.00252774641233531,0.00252774641233531
"1473",3.77483917083631,9.46790380609733e-05,9.46790380609733e-05,778.95,235.90625,235.90625,313,351,626,-0.993610223642173,740.164362810074,1,5.42159685875036e-05,3.22496423462089,0.523160353273387,53343310019090304,0,6,1,0.000386644269231439,0.000386644269231439
"1474",4.0879199428163,8.74278720055954e-05,8.74278720055954e-05,697.3,177.21875,177.21875,46,71,92,-0.956521739130435,683.477531036895,1,5.19649322127687e-05,2.91165951359084,0.475116359585018,914590160908397,0,6,1,5.06273109257848e-05,5.06273109257848e-05
"1475",3.10436025732666,0.000115127791848952,0.000115127791848952,1011,409.25,409.25,1823,1268,3658,-0.980670520126169,900.024867603039,4,0.000217287818968384,3.89592274678112,-0.318162119120126,8075220626630235136,0.000324141170282205,4,4,0.00475717137165742,0.00475717137165742
"1476",3.64117226590422,9.81546917942678e-05,9.81546917942678e-05,823.516666666667,268.8125,268.8125,618,520,1242,-0.960871109958331,767.335689045936,3,0.000161348667406806,3.35872675250358,0.447867447080403,411585299764352448,0.000123043964761903,6,3,0.0010739931841881,0.0010739931841881
