"","influenza_sub"
"892",3043675802390807552
"893",14583720930452084736
"894",666668537762531584
"895",950544264655025152
"896",2299844536032532480
"897",2657242469052154880
"898",866772257346292224
"899",4.6386893194195e+19
"900",171947186189320416
"901",1768762263065336576
"902",177021318792073216
"903",1768762263065336576
"904",1768762263065336576
"905",177021318792073216
"906",490036549466613632
"907",490036549466613632
"908",1768762263065336576
"909",177021318792073216
"910",1479548685166677760
"911",663466330206298240
"912",177021318792073216
"913",4009555574233695232
"914",663466330206298240
"915",1214092558483014656
"916",676624024496099584
"917",286489708756108800
"918",177021318792073216
"919",1479548685166677760
"920",1214092558483014656
"921",490036549466613632
"922",7484926057611660288
"923",861398643025623296
"924",1479548685166677760
"925",663466330206298240
"926",69668831138319073280
"927",3329021704782383616
"928",13953268376141256704
"929",177021318792073216
"930",490036549466613632
"931",490036549466613632
"932",2853308616999243776
"933",26835621315664248832
"934",177021318792073216
"935",490036549466613632
"936",177021318792073216
"937",3739553113211746816
"938",1768762263065336576
"939",1214092558483014656
"940",2431850055894404608
"941",861398643025623296
"942",490036549466613632
"943",1479548685166677760
"944",177021318792073216
"945",177021318792073216
"946",1479548685166677760
"947",177021318792073216
"948",13995493713518555136
"949",1306163664277261568
"950",1302265429473830912
"951",146513914586838144
"952",19749918204099760
"953",96776342206909488
"954",2813753695251132416
"955",232285279964507648
"956",1552503062144275456
"957",6420377012662104
"958",1841777785961662720
"959",6420377012662104
"960",2.607859417876e+19
"961",6420377012662104
"962",6420377012662104
"963",175512061782441248
"964",59061186648792752
"965",1841971163528140544
"966",26368034369902448640
"967",7877885200603586
"968",7877885200603586
"969",7877885200603586
"970",26368034369902448640
"971",7877885200603586
"972",7877885200603586
"973",2022423452618956544
"974",9295035095487956992
"975",9295035095487956992
"976",7877885200603586
"977",5814573536762892288
"978",109078417157681488
"979",7877885200603586
"980",7877885200603586
"981",127715702188141328
"982",929139373893874432
"983",1419745028506681856
"984",6420377012662104
"985",6420377012662104
"986",6420377012662104
"987",2162965414700145920
"988",6420377012662104
"989",6420377012662104
"990",7877885200603586
"991",7877885200603586
"992",7877885200603586
"993",7877885200603586
"994",3649023428736587
"995",62034584927543432
"996",3649023428736587
"997",8987003597519379
"998",3649023428736587
"999",8987003597519379
"1000",3649023428736587
"1001",3649023428736587
"1002",8987003597519379
"1003",279158500326414144
"1004",3649023428736587
"1005",476554485936667584
"1006",3649023428736587
"1007",3649023428736587
"1008",3649023428736587
"1009",3649023428736587
"1010",1765821268822724096
"1011",3649023428736587
"1012",3649023428736587
"1013",605658896481150976
"1014",3649023428736587
"1015",3649023428736587
"1016",5791609609231323136
"1017",286959548471095200
"1018",3649023428736587
"1019",115392175584168864
"1020",1560075790213143552
"1021",1030522487358078208
"1022",19933539309761052672
"1023",3649023428736587
"1024",213665562832921696
"1025",3649023428736587
"1026",2230044331624104704
"1027",3649023428736587
"1028",445257993945481792
"1029",132070966477615088
"1030",3649023428736587
"1031",3649023428736587
"1032",1008034094487827072
"1033",362616457655325888
"1034",3649023428736587
"1035",3649023428736587
"1036",12900692541098662
"1037",15654854321649526784
"1038",12900692541098662
"1039",826661375173213952
"1040",396801867135779520
"1041",90384653473446871040
"1042",3702472180999501312
"1043",12900692541098662
"1044",826661375173213952
"1045",52024835960092184
"1046",631549495034595072
"1047",265651377772809568
"1048",257431040685149664
"1049",12900692541098662
"1050",52024835960092184
"1051",12900692541098662
"1052",11636581274163558400
"1053",154345506490507264
"1054",154345506490507264
"1055",4165798805878598144
"1056",12900692541098662
"1057",285498108777701088
"1058",389163885839426688
"1059",12900692541098662
"1060",2445007779605774848
"1061",210728042396088928
"1062",42465602440591278080
"1063",826661375173213952
"1064",4255211481086945792
"1065",4136113779639040512
"1066",3613131487502765056
"1067",12900692541098662
"1068",36230986729049923584
"1069",265651377772809568
"1070",661956874068838528
"1071",12900692541098662
"1072",155074825310353504
"1073",155074825310353504
"1074",266607921298245760
"1075",155074825310353504
"1076",300373087542587776
"1077",155074825310353504
"1078",286489708756108800
"1079",3336911647392790016
"1080",13112155201893026
"1081",2394553428729588224
"1082",266607921298245760
"1083",13112155201893026
"1084",13112155201893026
"1085",155074825310353504
"1086",119349538861493344
"1087",155074825310353504
"1088",13112155201893026
"1089",9558431636243652608
"1090",155074825310353504
"1091",2754876008808228864
"1092",3080563490089540096
"1093",633023894719082880
"1094",13112155201893026
"1095",155074825310353504
"1096",284735163155352064
"1097",53343310019090304
"1098",53343310019090304
"1099",12511679330850633728
"1100",1223508121887252736
"1101",21443096794193620992
"1102",1910263766825387264
"1103",2825870455011620352
"1104",1585937145977693184
"1105",1510681334823387648
"1106",8854706675191033856
"1107",53343310019090304
"1108",5069678322414055424
"1109",53343310019090304
"1110",257010077372448736
"1111",1984624796915624960
"1112",53343310019090304
"1113",53343310019090304
"1114",284735163155352064
"1115",53343310019090304
"1116",53343310019090304
"1117",53343310019090304
"1118",53343310019090304
"1119",53343310019090304
"1120",53343310019090304
"1121",53343310019090304
"1122",53343310019090304
"1123",66712672272169697280
"1124",58328416564474704
"1125",53343310019090304
"1126",53343310019090304
"1127",53343310019090304
"1128",1223508121887252736
"1129",53343310019090304
"1130",53343310019090304
"1131",53343310019090304
"1132",53343310019090304
"1133",53343310019090304
"1134",53343310019090304
"1135",53343310019090304
"1136",1984624796915624960
"1137",53343310019090304
"1138",423090094515787648
"1139",1182855120081334
"1140",1182855120081334
"1141",98394986867673792
"1142",1870752541461461760
"1143",2372355548262855680
"1144",1182855120081334
"1145",1182855120081334
"1146",1182855120081334
"1147",27960159974215233536
"1148",58328416564474704
"1149",58328416564474704
"1150",58328416564474704
"1151",58328416564474704
"1152",58328416564474704
"1153",58328416564474704
"1154",58328416564474704
"1155",8761709804857401344
"1156",1182855120081334
"1157",1182855120081334
"1158",1182855120081334
"1159",190292458365084960
"1160",161469420152376160
"1161",161469420152376160
"1162",161469420152376160
"1163",1755960687931063296
"1164",161469420152376160
"1165",400428605970444096
"1166",463924002797564480
"1167",161469420152376160
"1168",161469420152376160
"1169",400428605970444096
"1170",161469420152376160
"1171",78001279332811648
"1172",78001279332811648
"1173",78001279332811648
"1174",78001279332811648
"1175",78001279332811648
"1176",78001279332811648
"1177",78001279332811648
"1178",78001279332811648
"1179",78001279332811648
"1180",78001279332811648
"1181",78001279332811648
"1182",553572898236489024
"1183",161469420152376160
"1184",161469420152376160
"1185",161469420152376160
"1186",161469420152376160
"1187",161469420152376160
"1188",161469420152376160
"1189",463924002797564480
"1190",831892435169066240
"1191",161469420152376160
"1192",161469420152376160
"1193",161469420152376160
"1194",161469420152376160
"1195",260353835905335200
"1196",78001279332811648
